clone_id,parent_id,round,sequence_status,stock_location,data_origin
PARENT,,0,synthetic_no_sequence,DEMO_ONLY/boxA/PARENT,synthetic
C01,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C01,synthetic
C02,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C02,synthetic
C03,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C03,synthetic
C04,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C04,synthetic
C05,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C05,synthetic
C06,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C06,synthetic
C07,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C07,synthetic
C08,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C08,synthetic
C09,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C09,synthetic
C10,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C10,synthetic
C11,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C11,synthetic
C12,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C12,synthetic
C13,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C13,synthetic
C14,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C14,synthetic
C15,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C15,synthetic
C16,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C16,synthetic
C17,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C17,synthetic
C18,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C18,synthetic
C19,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C19,synthetic
C20,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C20,synthetic
C21,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C21,synthetic
C22,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C22,synthetic
C23,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C23,synthetic
C24,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C24,synthetic
C25,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C25,synthetic
C26,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C26,synthetic
C27,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C27,synthetic
C28,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C28,synthetic
C29,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C29,synthetic
C30,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C30,synthetic
C31,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C31,synthetic
C32,PARENT,1,synthetic_no_sequence,DEMO_ONLY/boxA/C32,synthetic
