plate_id,well,clone_id,prep_id,technical_rep,sample_type,assay_id,data_origin
DEMO01,B09,PARENT,P01,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E09,PARENT,P01,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A02,PARENT,P02,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H06,PARENT,P02,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E04,PARENT,P03,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E11,PARENT,P03,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B11,PARENT,P04,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A09,PARENT,P04,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C12,PARENT,P05,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B08,PARENT,P05,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E07,PARENT,P06,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B07,PARENT,P06,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G02,PARENT,P07,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D09,PARENT,P07,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D06,PARENT,P08,1,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E02,PARENT,P08,2,parent,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G01,,blank1,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A03,,blank2,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H08,,blank3,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A10,,blank4,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A12,,blank5,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic
